Dst-Nr.;KZ;Dst-Bezeichnung-offiziell;Dst-Bezeichnung lang;Dst-Abk;GO-Nr;GO-Abk;Ort;Gde-Nr;Gde-Name;Kanton;Betriebspunkt;Haltestelle;Bedienpunkt;Reiner Betriebspunkt;Tarifhaltestelle;KOORDE;KOORDN;KOORDZ;BPUIC
96095;5;Meyrin, Grand-Puits;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;494606.71;120321.86;433;8596095
93146;9;Vernier, Bouleaux;;;881;TPG;Vernier;6643;Vernier;GE;*;*;;;;494650.73;118527.81;430;8593146
94940;4;Prévessin, Collège Le Joran;;;881;TPG;;;;;*;*;;;;494668.71;123605.78;473;8594940
92661;8;Bernex, Pont-de-Lully;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494719.71;113362.87;412;8592661
87901;5;Bernex, Aigues-Vertes;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494735.68;117319.83;402;8587901
87034;5;Bernex, place;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494781.71;114849.84;452;8587034
95014;7;Bernex, Maison du Terroir;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494783.71;113644.87;423;8595014
94942;0;Prévessin, Bretonnière;;;881;TPG;;;;;*;*;;;;494786.7;123132.8;459;8594942
95046;9;St-Julien-en-G., Dr Palluel;;;881;TPG;;;;;*;*;;;;494809.69;111092.88;460;8595046
95031;1;Meyrin, Prulay;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;494810.71;120970.86;437;8595031
93166;7;Vernier, Parfumerie;;;881;TPG;Vernier;6643;Vernier;GE;*;*;;;;494830.72;118006.81;398;8593166
93168;3;Vernier, Progrès;;;881;TPG;Vernier;6643;Vernier;GE;*;*;;;;494833.73;118599.81;434;8593168
93180;8;Vernier, ZIMOGA;;;881;TPG;Vernier;6643;Vernier;GE;*;*;;;;494835.71;119678.85;435;8593180
92654;3;Bernex, Chèvres;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494841.68;117388.82;392;8592654
93023;0;Meyrin, Vernes;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;494859.7;121243.85;423;8593023
95552;6;St-Julien-en-G.,Route Feigères;;;881;TPG;;;;;*;*;;;;494921.69;110395.88;467;8595552
95029;5;Meyrin, gare;;;881;TPG;Vernier;6630;Meyrin;GE;*;*;;;;494930.71;119827.85;434;8595029
87913;0;Gex, L'Aiglette (F);;;881;TPG;;;;;*;*;;;;494930.68;132789.36;590;8587913
